question,answer
What are the characteristics of Decision Trees?,They are non-parametric fast and efficient.
What is the exploration-exploitation trade-off in reinforcement learning?,The exploration-exploitation trade-off refers to the balance between exploring new actions to discover their potential rewards (exploration) and choosing actions that are known to yield high rewards (exploitation).
What is logistic regression?,A statistical model that predicts the probability of a binary outcome based on input features.
How do bidirectional RNNs differ from standard RNNs?,"Bidirectional RNNs process the input sequence in both forward and backward directions using two separate hidden states. This allows the network to capture context from both past and future inputs, improving performance in tasks where context from the entire sequence is important, such as NLP."
What cost functions are used in CART?,The cost functions used in CART include mean squared error (MSE) for regression and Gini for classification.
How can ensemble methods like bagging and boosting improve the robustness of NLP models to noise and outliers?,"By combining multiple models trained on different data subsets or with different algorithms, ensemble methods can achieve better overall performance and reduce sensitivity to noise and outliers."
How can data be obtained for NLP projects?,"There are multiple ways in which data can be obtained for NLP projects. Some of them are Using publicly available datasets, By using data augmentation, Scraping data from the web"
What is self-attention?,Self-attention is a technique used in transformer-based architectures to generate context-aware vectors from the input sequence itself.
"Explain the concept of a perceptron in neural networks, and how is gradient descent used in training them?","A perceptron is the simplest form of a neural network, with one or more inputs, weights, a summation function, and an activation function."
What is the challenge with labeling data for autonomous driving?,"Labeling data for autonomous driving, especially labeling every pixel, is costly and time-consuming, often requiring hours per image."
How can Autoencoders be used for anomaly detection?,"Autoencoders can be used for anomaly detection by training them on normal (non-anomalous) data. When an Autoencoder encounters anomalous data, it will struggle to reconstruct it accurately, resulting in a higher reconstruction error. By setting a threshold on the reconstruction error, anomalies can be detected."
What is pruning?,Pruning is a technique used to remove redundant parameters from a neural network.
Why is it said that Siamese networks appear as two networks but are actually one?,"Siamese networks appear as two separate networks because they process two different inputs simultaneously, but they share the same weights and parameters, effectively making them one network. This shared structure ensures that the feature representations generated for both inputs are directly comparable, which is crucial for tasks like verification."
What is NLP?,"Natural language processing (NLP) is a branch of linguistics, computer science, and artificial intelligence that studies how computers interact with human language, particularly how to design computers to process and analyse massive amounts of natural language data. Google Assistant from Google, Siri speech assistance from Apple, are examples of Natural language processing."
What is a Variational Autoencoder (VAE)?,A VAE is a generative model that learns to encode and decode data through probabilistic latent variables.
What Estimators are available in Scikit-Learn?,Scikit-Learn provides tools for estimating model parameters including linear regression and decision trees.
How do you select a column from a pandas DataFrame?,"A column from a pandas DataFrame can be selected using either df['column_name'] or df.column_name, where df is the DataFrame."
What are some popular libraries used for data visualization in Python?,"Matplotlib, Seaborn, and Plotly are widely used libraries for data visualization in Python."
What happens after selecting an attribute in the ID3 algorithm?,The set S is then split by the selected attribute to produce subsets of the data.
What is the role of attention masking in transformer-based language models?,"Attention masking in transformers is used to prevent the model from attending to certain parts of the input, such as future tokens in autoregressive models, ensuring that predictions are made only based on available information."
What is the issue of overfitting in Bag of Words?,The model can easily overfit due to the high dimensionality.
"How does ""temporal difference learning"" differ from ""Monte Carlo methods""?","Temporal difference learning updates value estimates based on incomplete episodes, using bootstrapping to estimate future rewards, while Monte Carlo methods wait until the end of an episode to update estimates based on the total observed return."
What is the difference between value-based and policy-based reinforcement learning?,"Value-based methods learn a value function to guide action selection, while policy-based methods directly learn the policy that maps states to actions, often optimizing the policy using gradients."
How does SVM optimize the decision boundary?,SVM optimizes the decision boundary by maximizing the margin between the closest data points of different classes.
Why do we use rounding in the quantization process?,"Rounding is used in quantization to convert continuous weight values into discrete values that fit within the new data type, such as int8. This helps in approximating the original weights with a reduced precision."
What is a hyperparameter?,A parameter that is set before training and governs the training process of a machine learning model.
What is the concept of Dropout as a regularization technique in neural networks?,"Dropout is a regularization technique where during each training iteration, individual neurons are randomly ""dropped out"" with a certain probability, meaning their contribution is ignored in both the forward and backward passes. This forces the network to learn more robust features, as it cannot rely on any particular neuron being present, which helps in preventing overfitting."
How do foundation models handle data with images and text?,"Foundation models often use both images and associated text to learn representations, enabling tasks like image-to-text and text-to-image conversions. They leverage large datasets containing both types of data for training."
What are some methods to prevent overfitting?,"Methods to prevent overfitting include using regularization techniques, simplifying the model, employing dropout (in neural networks), and using more training data."
What is the formula for Recall?,Recall = TP / (TP + FN)
`What is underfitting in the context of model fitting?,"Underfitting occurs when a model is too simplistic and fails to capture the underlying patterns in the data, leading to poor performance on both training and testing datasets."
"What is a sequence-to-sequence (seq2seq) transformer model, and how does it handle input-output pairs?","A seq2seq transformer model uses an encoder to process the input sequence into a context vector and a decoder to generate the output sequence, enabling tasks like translation, summarization, and question answering."
"What is max pooling, and why is it used in CNNs?","Max pooling reduces the spatial dimensions of the input by selecting the maximum value from each sub-region, retaining the most important features while reducing computational complexity."
What is unsupervised learning?,A type of learning where the model tries to find patterns in data without labeled outcomes.
What do Decision Trees consist of?,Decision Trees consist of nodes with parent-child relationships.
How does word embedding differ from traditional text representations?,"Word embedding represents words as vectors in a continuous space, capturing semantic relationships and contextual information."
What is the curse of dimensionality in machine learning?,"The curse of dimensionality refers to challenges arising in high-dimensional spaces, such as increased computational complexity and sparsity of data."
How can you read a CSV file?,Use pd.read_csv('file.csv') to read a CSV file into a DataFrame.
How does scaling affect the performance of KNN?,"Scaling affects the performance of KNN by ensuring that all features contribute equally to the distance calculations. Without scaling, features with larger ranges can dominate the distance metric, leading to biased results."
What is rolling window cross-validation?,"Rolling window cross-validation involves training the model on a fixed-size rolling window of past observations and testing it on subsequent observations, maintaining the temporal order."
How does quantization reduce the size of a neural network?,"Quantization reduces the precision of the model's weights and activations, often from 32-bit floating-point to 8-bit integers, which reduces the memory footprint and computational requirements of the model."
What is recall?,The ratio of true positive predictions to the total actual positive cases.
How can dimensionality reduction techniques like PCA assist in feature selection?,"PCA can identify the most informative features by focusing on components with higher variance, aiding in feature selection."
What is a decision tree?,A model that uses a tree-like structure to make decisions based on feature values.
Can you explain the concept of entropy in decision tree learning?,"Entropy measures the impurity or disorder in a set of data, guiding decision tree algorithms in selecting the best split for classification."
What is the future of the Transformer model?,The Transformer model is a rapidly evolving field and it is expected to continue to improve in the coming years. It is likely to be used for a wide range of natural language processing tasks and it may also be used for other tasks such as computer vision and speech recognition.
What is few-shot learning?,Few-shot learning refers to the ability to learn from a small number of labeled examples combined with a large number of unlabeled examples.
How does backpropagation work in training neural networks?,Backpropagation is a method to update the network's weights by calculating gradients of the loss function with respect to each weight.
How can contrastive learning be applied in a surveillance scenario?,"In a surveillance scenario, contrastive learning can be used to identify whether two images or video frames show the same person by analyzing pairs of data points, either bringing similar ones closer or pushing dissimilar ones farther apart."
What does parameter sharing in CNNs refer to?,Parameter sharing means that a feature detector applied to one part of an image is used across other parts of the image enhancing efficiency.
How does BARTs decoder contribute to text generation?,BARTs decoder generates text by predicting the next word in a sequence based on the corrupted input and context provided by the encoder.
How does reinforcement learning differ from supervised learning?,"In reinforcement learning, an agent learns to make decisions by interacting with an environment and receiving rewards or penalties, while in supervised learning, the model learns from labeled data with predefined correct outputs."
What is a support vector machine (SVM)?,A supervised learning algorithm that finds the hyperplane that best separates data into classes.
Why is Logistic Regression called Regression?,Logistic Regression is called Regression because it predicts a continuous outcome (probability) that is then used to classify data into categories. It is a type of Generalized Linear Model (GLM).
"What are relative position encodings in transformers, and how do they improve over absolute position encodings?","Relative position encodings allow the model to consider the distance between tokens rather than their absolute positions, improving performance on tasks where the relative order of tokens is more important than their absolute positions."
What does unique() do?,unique() returns the unique values in a Series or DataFrame column.
Why is feature scaling important for k-NN?,"Feature scaling is important for k-NN because the algorithm relies on distance calculations, which can be distorted by differing scales."
What is the difference between Bagging and Boosting?,"Bagging reduces variance by averaging multiple independent models, while Boosting reduces bias by sequentially improving weak learners. Bagging is parallel; Boosting is sequential."
What is the difference between model-free and model-based reinforcement learning?,"Model-free learning interacts directly with the environment, while model-based learning builds a model to plan actions."
What is the Bellman equation in reinforcement learning?,The Bellman equation calculates the value of a state by considering immediate rewards and the value of future states.
What is the impact of cross-validation on model evaluation metrics?,"Cross-validation provides a more reliable estimate of model evaluation metrics by averaging results across multiple folds, reducing the variability introduced by a single train-test split."
How can the choice of kernel function impact the performance of an SVM model?,"Different kernels capture different types of relationships between data points, and the optimal choice depends on the specific data and task."
What is a feature pipeline?,"A feature pipeline is a sequence of data processing steps, including feature engineering and transformations, applied to raw data before training a model."
How does actor-critic architecture work in reinforcement learning?,"The actor-critic architecture involves two components: the actor, which selects actions based on a policy, and the critic, which evaluates the actions by estimating the value function, providing feedback to the actor for policy improvement."
What is unsupervised learning?,Unsupervised learning finds patterns or structures in unlabeled data.
"What method combines Breimans ""bagging"" idea and random feature selection?","The method combines Breimans ""bagging"" idea and the random selection of features."
What is the significance of the margin in SVM?,The margin in SVM is the distance between the separating hyperplane and the closest data points from each class (the support vectors). Maximizing this margin helps in creating a more generalized decision boundary that can better classify new data points.
What is the objective of the experiments mentioned in the document?,"The objective of the experiments mentioned in the document is to apply linear regression to different datasets (e.g., a handmade dataset and a diabetes dataset) and find the best fit line for each."
How is the goodness of fit measured in linear regression?,"The goodness of fit in linear regression is commonly measured using the R-squared value, which indicates the proportion of variance in the dependent variable explained by the independent variables."
What are some potential biases to consider when building NLP models?,"Biases can exist in the training data, algorithms, and evaluation metrics, leading to unfair or inaccurate results.:"
"What does the MA term in ARIMA stand for, and how does it work?",The MA (Moving Average) term in ARIMA refers to a model where the current value of the time series is expressed as a linear combination of past forecast errors. The order of the MA term (denoted as q) indicates the number of lagged forecast errors included in the model.
What is the primary benefit of using self-attention in transformers over convolutional layers?,Self-attention captures global relationships between elements in a sequence while convolutional layers primarily capture local patterns.
What are some common applications of linear regression mentioned in the document?,"Common applications of linear regression mentioned in the document include: Applying linear regression on a handmade dataset (e.g., length vs. time squared for a pendulum), Finding the best fit line for a diabetes dataset"
What is the importance of the learning rate in training neural networks?,"The learning rate controls the size of the steps taken during optimization. If it's too high, the model may overshoot the optimal point; if too low, the training process may be slow."
What are some challenges of web scraping for NLP tasks?,"Dynamically generated content, changing website structure, and legal restrictions can pose challenges."
What is a training set in machine learning?,A training set is used to train a model and learn from examples.
What is principal component analysis (PCA)?,A dimensionality reduction technique that transforms data into a set of uncorrelated variables called principal components.
What is collaborative filtering?,A recommendation technique that makes predictions based on the preferences of similar users or items.
"What is ""value iteration"" in reinforcement learning?","Value iteration is an algorithm that updates the value function directly, iteratively improving the estimate of the value of each state until convergence, eventually deriving the optimal policy."
What is the concept of 'trade-off' in precision and recall?,"The trade-off refers to the balance between precision and recall, where improving one often leads to a decrease in the other."
What is leave-one-out cross-validation (LOOCV)?,Leave-one-out cross-validation is a special case of k-fold cross-validation where k equals the number of data points. Each data point is used once as a test set while the rest are used for training.
Explain the difference between a bar chart and a histogram.,"A bar chart represents categorical data with distinct categories, while a histogram displays the distribution of continuous data by dividing it into bins."
How can autoencoders be used in supervised learning tasks?,"After training, the decoder of an autoencoder can be discarded, and the compressed code generated by the encoder can be used for supervised learning tasks, particularly when dealing with small training datasets."
How is Q-Learning used in Healthcare?,Q-learning has been used in healthcare to learn optimal treatment policies.
What is the purpose of regularization in logistic regression?,"Regularization in logistic regression helps prevent overfitting by adding a penalty to the cost function for large coefficients, thereby improving model generalization."
What is overfitting in Decision Trees?,"Overfitting in Decision Trees occurs when the model becomes too complex, capturing noise in the data rather than the underlying distribution, reducing its generality."
What is the difference between cross-validation and holdout validation?,"Cross-validation involves multiple rounds of training and testing on different subsets of data, while holdout validation uses a single train-test split to evaluate model performance."
What is a Decision Tree?,A Decision Tree is a supervised learning algorithm used for both classification and regression tasks. It splits the data into subsets based on the value of input features.
What is Self Attention?,Self attention learns the relationship between elements in a sequence such as between words in a sentence. It allows the model to focus on different parts of the input data and weigh their importance.
What is weight sharing?,Weight sharing is a technique used to reduce the number of parameters in a neural network by sharing the same weight across multiple connections.
"What is the role of ""baselines"" in policy gradient methods?","Baselines are used in policy gradient methods to reduce the variance of the gradient estimates by subtracting a baseline value (often the state value) from the reward, leading to more stable and efficient learning."
What is active learning?,A machine learning approach where the model actively queries a human annotator to label new data points to improve learning efficiency.
Why is the sequence or order of words not important in the BoW model?,"In the BoW model, the number of occurrences of words is what matters, not the sequence or order of words."
What is Classification in Machine Learning,Classification involves predicting a class label for a given input
Common ways used for Text Extraction in NLP?,"Named Entity Recognition, Sentiment Analysis, Text Summarization, Aspect Mining, Topic Modeling"
"How do you identify the appropriate values of p, d, and q in an ARIMA model?","The values of p, d, and q in an ARIMA model are typically identified through exploratory data analysis, including examining plots such as the Autocorrelation Function (ACF) and Partial Autocorrelation Function (PACF), performing unit root tests (like the Augmented Dickey-Fuller test) to determine the need for differencing, and using model selection criteria like AIC (Akaike Information Criterion) or BIC (Bayesian Information Criterion)."
What is TF-IDF and how does it improve upon bag-of-words?,TF-IDF (Term Frequency-Inverse Document Frequency) measures the importance of a word in a document by considering both its frequency in the document and its rarity in the entire corpus.
What is a ROC curve in machine learning?,"A ROC (Receiver Operating Characteristic) curve is a graphical representation of a classifier's performance, plotting the true positive rate against the false positive rate at various thresholds."
What is the purpose of an attention mechanism in sequence models?,"Attention mechanisms allow sequence models to focus on specific parts of the input data when generating each output, improving performance on tasks like translation and summarization."
What is a key aspect of analyzing data in the Big Data Analytics process?,A key aspect is to define the target for supervised learning and derive relevant attributes through brainstorming hierarchically.
How is clustering used in unsupervised learning?,"Clustering groups similar data points together based on features, with algorithms like k-means or hierarchical clustering used to identify patterns."
What is ML Problem Formulation,Machine Learning problem formulation involves defining the problem statement input features predicted label and machine learning function
What is TF-IDF?,"Term Frequency-Inverse Document Frequency, a statistic that reflects the importance of a word in a document relative to a collection of documents."
What does describe() do?,describe() provides summary statistics of numerical columns.
what is Data Pre-Processing?,The process of converting raw data into a comprehensible format is known as data preparation.
"What is data augmentation, and why is it important in CNN training?","Data augmentation involves artificially increasing the size and diversity of the training dataset by applying transformations such as rotations, flips, or shifts to the input data. It helps improve the generalization of the CNN by exposing it to more variations of the data."
How does double Q-learning address the overestimation bias in Q-learning?,"Double Q-learning uses two separate Q-value estimators to reduce the overestimation bias by alternating updates between the two, ensuring more accurate value estimation."
What is the purpose of a loss function in machine learning?,"The loss function measures the difference between the predicted values and the actual values. It quantifies how well the model is performing, guiding the optimization process to minimize errors."
What is the significance of the ground truth (GT) in MLP training?,"The ground truth (GT) represents the actual class, and it is used to calculate the loss and guide the weight updates during training."
What challenges does NLP face?,NLP faces several challenges including ambiguity scale and the need for robust techniques.
Describe the K-means algorithm.,1. Clusters the data into k groups where k is predefined. 2. Select k points at random as cluster centers. 3. Assign the points to their closest cluster center according to the Euclidean distance function. 4. Re-compute the centroid of all points in each cluster. 5. Repeat steps 3 and 4 by re-assigning each point to nearest cluster centroids. 5. Repeat steps 3 and 4 by re-assigning each point to nearest cluster centroids and re-computing the centroids till convergence.
How does self-attention compute the context vector for each position in a sequence?,Self-attention uses a weighted sum of value vectors where weights are derived from the similarity between query and key vectors.
What is the role of positional encoding in the Transformer model?,"Positional encoding is added to input embeddings to provide the model with information about the order of tokens in the sequence, as the Transformer model itself does not have a built-in notion of sequence order like RNNs."
How does SVM work with multi-class classification?,SVM can be adapted for multi-class classification using strategies like one-vs-one or one-vs-all.
What is one-hot encoding?,One-hot encoding is a method of representing words as vectors but it has limitations.
What is the significance of choosing the right model complexity?,"Choosing the right model complexity ensures a good balance between bias and variance, optimizing performance and generalization on new data."
How do denoising autoencoders prevent learning the identity function?,They corrupt the input data and compare the output to the original not the corrupted input.
What is the purpose of using heatmaps in data visualization?,"Heatmaps visualize the intensity of a variable across two dimensions, often using color gradients. They are useful for spotting patterns and trends in large datasets."
What are some common applications of autoencoders mentioned in the text and how do they leverage the autoencoder's ability to learn data representations.,Applications include anomaly detection data denoising and image inpainting using autoencoders to learn and apply meaningful data representations.
What is feature extraction for text data?,"Feature extraction for text data involves converting text into numerical features, such as term frequency, TF-IDF, or word embeddings."
What is Latent Semantic Indexing (LSI) in NLP?,"Latent Semantic Indexing (LSI), also known as Latent Semantic Analysis, is a mathematical method for improving the accuracy of information retrieval. It aids in the discovery of hidden(latent) relationships between words (semantics) by generating a set of various concepts associated with the terms of a phrase in order to increase information comprehension. Singular value decomposition is the NLP technique utilised for this aim. It's best for working with small groups of static documents."
What is deep Q-learning in reinforcement learning?,"Deep Q-learning uses deep neural networks to approximate the Q-value function, enabling the agent to learn from high-dimensional input spaces like images."
What is the impact of learning rate in boosting algorithms?,"The learning rate in boosting algorithms controls the step size at each iteration, with a smaller learning rate often leading to better performance but requiring more boosting rounds."
"What is ""policy evaluation"" in reinforcement learning?","Policy evaluation involves estimating the value function for a given policy, determining the expected return for each state or state-action pair under that policy, typically used to assess and improve policies."
What is a value function in reinforcement learning?,A value function estimates the expected reward from a given state.
What is the difference between Self Attention and Convolution Layer?,The main difference between Self Attention and Convolution Layer is that Self Attention uses dynamically calculated filters whereas Convolution Layer uses static filters. Self Attention is also invariant to changes in the input points and can operate on irregular inputs.
What is the purpose of using Global Average Pooling in CNNs?,Global Average Pooling replaces the fully connected layers in a CNN with an operation that averages the entire spatial dimension of the feature maps into a single value per feature map. This reduces the number of parameters and helps prevent overfitting.
What is the kernel trick in SVM?,"The kernel trick allows SVM to operate in a high-dimensional space without explicitly calculating the coordinates in that space, making computations more efficient."
How does intraclass variation pose a challenge in verification tasks?,"Intraclass variation, such as changes in a person's appearance due to aging or different lighting conditions, can make it difficult for the system to recognize that two images belong to the same individual. This poses a challenge in verification tasks where the system must accurately match these varying instances to a single identity."
What are the pros of using Naive Bayes?,"Naive Bayes is simple, fast, and works well with high-dimensional data. It is also highly interpretable."
What is DBSCAN?,"Density-Based Spatial Clustering of Applications with Noise, a clustering algorithm that groups together points that are close to each other based on a distance metric."
Explain the concept of forward propagation in an MLP.,"Forward propagation is the process by which input data is passed through the network layer by layer, generating predictions at the output layer."
What is transfer learning in machine learning?,Transfer learning involves leveraging knowledge from a pre-trained model on one task to improve performance on a related task with limited data.
What is the difference between online and batch learning?,"Online learning updates the model incrementally as new data arrives, while batch learning updates the model using the entire dataset at once."
How can you apply a function to a DataFrame?,Use the apply() method to apply a function along an axis of the DataFrame.
What is a named entity in NLP?,"A proper noun or name in text that refers to specific entities like people, organizations, or locations."
"Say youve trained an SVM classifier with an RBF kernel, but it seems to underfit the training set. Should you increase or decrease (gamma)? What about C?","If an SVM classifier trained with an RBF kernel underfits the training set, there might be too much regularization. To decrease it, you need to increase gamma or C (or both)."
What is multi-armed bandit in reinforcement learning?,"The multi-armed bandit problem is a simplified reinforcement learning scenario where an agent must choose between multiple actions with uncertain rewards, balancing exploration and exploitation."
What do you mean by Text Extraction and Cleanup?,"The process of extracting raw text from the input data by getting rid of all the other non-textual information, such as markup, metadata, etc., and converting the text to the required encoding format is called text extraction and cleanup. Usually, this depends on the format of available data for the required project."
What is pruning in Decision Trees?,Pruning involves reducing the size of a Decision Tree by removing parts that do not provide additional power to classify instances.
Why has contrastive learning become particularly useful in verification tasks?,"It allows for creating a large number of training samples from relatively few data points, which is essential for tasks like face recognition."
what is Feature Engineering?,"Feature engineering is the process of extracting features (characteristics, qualities, and attributes) from raw data using domain expertise."
How do you check if a DataFrame is empty?,"Use df.empty to check if a DataFrame is empty (i.e., has no elements)."
What is the difference between a training set and a test set?,"The training set is used to train the model, while the test set is used to evaluate the model's generalization to new data."
What is the exploding gradient problem?,"A problem in training deep neural networks where gradients become very large, causing instability and poor convergence during training."
What is the purpose of tokenization in NLP?,Tokenization breaks text into smaller units (tokens) for easier processing and analysis by models.
How does the explained variance ratio help us choose the optimal number of principal components in PCA?,We aim to select enough principal components to capture a sufficient amount of variance in the data while avoiding unnecessary redundancy.
What is a neural network?,"A computational model inspired by the human brain's network of neurons, used in machine learning."
What is the difference between value-based and policy-based reinforcement learning?,"Value-based methods focus on learning the value function, while policy-based methods directly optimize the policy to maximize rewards."
How popular are Decision Trees?,Decision Trees are a popular tool widely used on Kaggle.
What type of data can the Google Translate API handle?,"The Google Translate API can translate text data between different languages, allowing developers to incorporate language translation capabilities into their applications."
What is the purpose of using transformers in computer vision tasks?,Transformers are used in computer vision tasks to model long-range dependencies and relationships between different parts of an image. Vision Transformers (ViTs) apply self-attention mechanisms to image patches for classification and segmentation.
What is covariance and how is it used in PCA?,Covariance measures how much each dimension varies from the mean with respect to each other. It is used to find relationships between dimensions and to compute the covariance matrix.
What is early stopping and how does it work?,Stops training if validation loss/accuracy not improving
How does the BLEU score work for evaluating machine translation?,"BLEU (Bilingual Evaluation Understudy) score evaluates the quality of machine-translated text by comparing it to reference translations, focusing on n-gram precision."
What happens when the actual class deviates from the predicted class in MLP?,"When the actual class deviates from the predicted class, the squared error or loss is computed, and the weights are updated to reduce this error."
How can the performance indices be used to evaluate CNN architectures?,The performance indices can be used to evaluate CNN architectures by comparing their accuracy model complexity memory usage computational complexity and inference time and selecting the architecture that best meets the requirements of the specific application.
What is the difference between batch gradient descent and stochastic gradient descent (SGD)?,"Batch gradient descent updates weights after computing the gradient over the entire dataset, while SGD updates weights after each individual training example, making it faster but noisier."
What is boosting with decision trees?,"Boosting with decision trees involves sequentially training decision trees where each tree focuses on correcting the errors of the previous ones, enhancing predictive performance through iterative improvement."
What are the types of machine learning?,"The main types are supervised, unsupervised, semi-supervised, and reinforcement learning."
How did the field of face recognition change with the advent of large datasets and deep learning?,The field shifted from mostly academic research with limited real-world success to significant improvements due to large datasets and deep learning techniques.
What is an outlier in the context of KNN?,"An outlier in the context of KNN is a sample that is not within the k nearest neighbors of any other sample, indicating it is significantly different from the rest of the data."
What is Q-learning in reinforcement learning?,"Q-learning is a model-free reinforcement learning algorithm that learns the value of taking a particular action in a particular state, updating its Q-values based on the rewards received and future potential rewards."
What is the impact of choosing a high value for k in k-fold cross-validation?,"Choosing a high value for k provides a more accurate estimate of model performance but increases computational cost and training time, as the model is trained and tested more times."
Explain the concept of n-grams in NLP.,N-grams are contiguous sequences of n items (words or characters) in a given text. They capture local patterns and relationships between adjacent words.
What challenges exist in explaining model predictions to different stakeholders?,"Challenges include tailoring explanations to different stakeholders, such as providing detailed, technical justifications for experts while offering simpler, high-level summaries for non-experts or legal contexts."
"What is a ""policy gradient ascent"" in reinforcement learning?","Policy gradient ascent is a method used to optimize a policy by adjusting the policy parameters in the direction that increases the expected reward, calculated through gradient ascent on the policy's objective function."
What is dropout and how does it help with overfitting?,"Dropout is a regularization technique where randomly selected neurons are ignored during training, which helps prevent overfitting by reducing the model's reliance on specific neurons."
What is the primary goal of computer vision?,"The primary goal of computer vision is to extract all possible information about a visual scene through computer processing, including answering questions like What? When? Where? Who? How? Why? and How many?"
Explain the use of perplexity in language models.,"Perplexity is a metric for evaluating language models, representing how well the model predicts a sample. A lower perplexity indicates better performance."
What is the performance of ResNet on ImageNet?,ResNet achieves state-of-the-art performance on ImageNet outperforming other architectures such as VGGNet and GoogLeNet.
What is K-Fold Cross-Validation in Machine Learning,K-fold cross-validation is a method of evaluating model performance by splitting the data into k partitions where each partition is used as a validation set
What are some standard techniques for text representation?,Standard techniques include removing stopwords weighing words differently and using histograms (Bag of Words).
"What is ""value function"" in reinforcement learning?","The value function estimates the expected return (reward) from a given state (or state-action pair), guiding the agent's decision-making process by indicating the desirability of different states or actions."
Why is multi-head attention used in Transformers?,Multi-head attention allows the model to focus on different parts of the input simultaneously improving its ability to capture diverse features.
How does a Siamese network typically handle training and verification?,"During verification, Siamese networks often use nearest neighbors to find distances to the samples from the class under question and apply a subject-specific variable threshold. For training, the network uses a small number of samples, often employing one-shot learning to find a feature space suitable for the local geometry."
What is an example of a task that a decoder-based language model would perform?,"An example is predicting the next token in a sequence based on previous tokens, such as predicting dog in the sequence the quick brown fox jumps over the lazy ________."
"What is the role of the attention head in multi-head attention, and how does it differ from single-head attention?","An attention head in multi-head attention independently learns a unique set of attention weights, allowing the model to focus on different parts of the input, whereas single-head attention is limited to one set of weights, reducing its ability to capture diverse relationships."
What is AUC-ROC?,"Area Under the Curve - Receiver Operating Characteristic, a single scalar value that summarizes the performance of a binary classifier."
How is backpropagation used in training neural networks?,Backpropagation calculates the gradient of the loss function with respect to each weight by propagating errors backward through the network. The weights are updated using these gradients to minimize the loss.
What is a data pipeline?,A series of data processing steps that transform raw data into a format suitable for machine learning.
What is the purpose of using Decision Trees?,Decision trees provide a highly effective and easy way to understand the range of potential and possible outcomes. They help individuals or organizations identify possible actions based on their resources and benefits.
How can CNNs be applied to non-image data?,"CNNs can be applied to non-image data that has a grid-like structure, such as time-series data (using 1D convolutions) or text data (using embeddings followed by 1D convolutions). They can also be adapted for tasks like audio processing or medical data analysis."
"What is Keras, and how is it used in deep learning?","Keras is a high-level neural networks API that runs on top of TensorFlow. It allows for quick prototyping, easy implementation of neural networks, and supports both convolutional and recurrent networks."
What is the difference between structured and unstructured pruning?,"Structured pruning removes entire neurons, layers, or channels, leading to a more regular and hardware-friendly compressed model. Unstructured pruning removes individual weights, resulting in a sparser network but potentially irregular memory access patterns."
What is Apache Hadoop and its core elements?,Apache Hadoop is a full data processing stack built on Googles ideas. Its core elements are: HDFS (Hadoop Distributed File System): A distributed file system. Hadoop MapReduce: A programming model and execution framework for processing large datasets.
What is the concept of 'confidence interval' in model evaluation?,A confidence interval provides a range of values within which the true performance metric is likely to fall with a certain level of confidence.
What is the bootstrap method?,A resampling technique used to estimate the distribution of a statistic by repeatedly sampling with replacement from the original data.
What is precision?,The ratio of true positive predictions to the total positive predictions made by the model.
What is the significance of iterative prompt development?,Iterative prompt development involves refining prompts based on analysis of the results. It is crucial for improving the accuracy and relevance of the outputs by making the model spend more computational effort on complex tasks
What is the difference between random cross-validation and stratified cross-validation?,"Random cross-validation splits the data randomly into folds, while stratified cross-validation ensures that each fold maintains the proportion of target classes, providing a more representative evaluation."
What is reinforcement learning?,A type of machine learning where an agent learns to make decisions by receiving rewards or penalties.
What is the actor-critic method in reinforcement learning?,"The actor-critic method combines policy-based and value-based approaches, where the actor updates the policy and the critic evaluates the actions by estimating the value function."
What is cross-entropy loss?,"A loss function used in classification tasks that measures the difference between two probability distributions, the predicted and the true distribution."
What is feature engineering for image data?,"Feature engineering for image data involves techniques like extracting pixel values, applying convolutional filters, or using pre-trained deep learning models to create features."
What is the role of the sigmoid function in logistic regression?,The sigmoid function in logistic regression maps the output of the linear combination of inputs to a probability value between 0 and 1.
How did AlexNet handle overfitting during training?,"AlexNet used dropout in the fully connected layers, which randomly set some of the neurons' outputs to zero during training, reducing overfitting by preventing co-adaptation of neurons."
What is the significance of data augmentation in CNN training for image classification?,"Data augmentation artificially increases the diversity of the training data by applying transformations like rotation, scaling, and flipping. This helps improve model generalization and reduces overfitting."
What is backpropagation in deep learning?,Backpropagation adjusts weights by calculating gradients of the loss function to train neural networks.
What is Feature Selection?,Feature selection finds the most relevant features to a problem by obtaining a subset or key features of the original variables.
What does NLP stand for?,Natural Language Processing
What is not considered in Bag of Words?,Order of words is not considered.
What is masked language modeling in BERT?,Masked language modeling involves predicting missing words in a sentence to learn contextual relationships.
BoW is a method for feature extraction from text. True or False?,TRUE
What are the two main components of the Center Loss function?,"The Center Loss function comprises two terms: one for inter-class separability (softmax) and another for intra-class compactness, with a balancing factor ?\lambda? that adjusts the influence of each term."
